N° de transaction;Bon de sortie;Type de transaction;Date de sortie;Code article;Description de l'article;Famille d'article;CAv de l'article;Code analytique;Famille de machine;Type d'organe principal;Quantité sortie;Unité ;PUMP de l'article;Montant total en devise de base;Devise de base;Montant total en devise du magasin;Devise du magasin;Magasin source;Casier source;CIS du magasin source;Direction du magasin source;Magasin destinataire;CIS du magasin destinataire;Direction du magasin destinataire;N° d'OT destinataire;Description de l'OT;Demandeur de la pièce;Chantier de l'OT;Parc de l'OT ;CIS de l'OT;Statut OT;RO Number OT;Date debut OT;Date achèvement OT;Origine Composant;Direction de l'OT ;Composant;Equipement de l'OT;Type de l'OT;Sous-classe;Famille ;Département ;Propriété ;Organisation du magasin source;Commentaire
286122;0222558;Sortie d'article;10/06/2023;CA9L6130;JEU DE COURROIES / VEE BELT SET;CA;602237;013;ED00;;1;U;61746,44;61746,44;XOF;94,1;EUR;M1-E;7.D.3.3;300032;MINES;;;;599112;Remplacement des filtres de transmission et convertisseur près Rebuilt;JM.BONI;P20071;PARCMIN-RAL1;000140;Clôturé-;;08/06/2023;08/06/2023;;MINES;;ED537;R2;ED;ED00;PRODUCTION;RAL1;GEO-MINES;
294098;0227407/64;Sortie d'article;06/11/2023;CA1R0749;FILTRE A CARBURANT HAUTE EFF / FILTER-FUEL HI;CA;602237;011;ED00;E1-Service;2;U;22259;44518;XOF;67,85;EUR;M1-E;1.G.3.3;300032;MINES;;;;609175;MAINTENANCE 1000H ATL FLEXIROC D65;I.DARANKOUM;P20071;PARCMIN-RAL1;000140;Clôturé-;;07/11/2023;07/11/2023;;MINES;;CL552;E1;CL;CL26;PRODUCTION;RAL1;GEO-MINES;
288399;0225074/23;Sortie d'article;20/07/2023;CA1R0749;FILTRE A CARBURANT HAUTE EFF / FILTER-FUEL HI;CA;602237;011;ED00;E1-Service;1;U;22259;22259;XOF;33,92;EUR;M1-E;1.G.3.3;300032;MINES;;;;609212;MAINTENANCE 250H CAT D9R;S.TUO;P20071;PARCMIN-RAL1;000140;Clôturé-;;20/07/2023;20/07/2023;;MINES;;ED533;E1;ED;ED00;PRODUCTION;RAL1;GEO-MINES;
288436;BSM0225074/23;Sortie d'article;20/07/2023;CA3261642;FILTRE SEPARATEUR EAU & CARB / FILTER AS-WATE;CA;602237;011;ED00;E1-Service;1;U;34326;34326;XOF;52,31;EUR;M1-E;1.G.4.2;300032;MINES;;;;609212;MAINTENANCE 250H CAT D9R;S.TUO;P20071;PARCMIN-RAL1;000140;Clôturé-;;20/07/2023;20/07/2023;;MINES;;ED533;E1;ED;ED00;PRODUCTION;RAL1;GEO-MINES;
286924;0222762;Sortie d'article;16/06/2023;CA3759986;BAGUE / BUSHING CLA;CA;602237;913;ED00;;1;U;12443,5;12443,5;XOF;18,96;EUR;M1-E;5.G.9.4;300032;MINES;;;;609298;DA pour remplacement du bushing du tendeur de courroie;I.COULIBALY;P20071;PARCMIN-RAL1;000140;Clôturé-;;13/06/2023;13/06/2023;;MINES;;JM598;R2;JM;JM00;PRODUCTION;RAL1;GEO-MINES;
287807;0223896/18;Sortie d'article;10/07/2023;CA1R0749;FILTRE A CARBURANT HAUTE EFF / FILTER-FUEL HI;CA;602237;011;ED00;E1-Service;2;U;22259;44518;XOF;67,85;EUR;M1-E;1.G.3.3;300032;MINES;;;;609345;MAINTENANCE 250H ATL FLEXIROC D65;I.DARANKOUM;P20071;PARCMIN-RAL1;000140;Clôturé-;;09/07/2023;09/07/2023;;MINES;;CL545;E1;CL;CL26;PRODUCTION;RAL1;GEO-MINES;
288653;BSM0225352/27;Sortie d'article;28/07/2023;CA1R0749;FILTRE A CARBURANT HAUTE EFF / FILTER-FUEL HI;CA;602237;011;ED00;E1-Service;2;U;22259;44518;XOF;67,85;EUR;M1-E;1.G.3.3;300032;MINES;;;;609346;MAINTENANCE 1000H ATL FLEXIROC D65;O.DIALLO;P20071;PARCMIN-RAL1;000140;Clôturé-;;28/07/2023;28/07/2023;;MINES;;CL545;E1;CL;CL26;PRODUCTION;RAL1;GEO-MINES;
293286;0222656/03323L/ALLOCATIO;Sortie d'article;15/10/2023;CA3K0360;JOINT TORIQUE / SEAL-O-RING;CA;602237;013;ED00;;4;U;430,04;1720,17;XOF;3,37;USD;M1-D;5.D.1.3;300032;MINES;;;;609360;CYLINDER HEAD LEAKAGE REPAIR DA;I.DARANKOUM;P20071;PARCMIN-RAL1;000140;Clôturé-;;;16/10/2023;;MINES;;CL552;R2;CL;CL26;PRODUCTION;RAL1;GEO-MINES;
287266;0222935/12;Sortie d'article;21/06/2023;CA4F7389;JOINT / SEAL;CA;602237;913;ED00;;6;U;1281;7686;XOF;15,06;USD;M1-D;5.D.1.6;300032;MINES;;;;609514;Partial rebuild;B.BENGALI;P20071;PARCMIN-RAL1;000140;Clôturé-;;17/06/2023;11/07/2023;;MINES;;ED536;R2;ED;ED00;PRODUCTION;RAL1;GEO-MINES;
290810;BSM0225663/39;Sortie d'article;30/08/2023;CA1R0749;FILTRE A CARBURANT HAUTE EFF / FILTER-FUEL HI;CA;602237;011;ED00;E1-Service;2;U;22259;44518;XOF;67,85;EUR;M1-E;1.G.3.3;300032;MINES;;;;609524;MAINTENANCE 500H ATL FLEXIROC D65;O.DIALLO;P20071;PARCMIN-RAL1;000140;Clôturé-;;30/08/2023;30/08/2023;;MINES;;CL549;E1;CL;CL26;PRODUCTION;RAL1;GEO-MINES;
